gene,pi,ll,llr,mut_count,mut_freq,mut_frac
DNMT3A,0.1685154045456677,-93.65506988875003,57.6725230994393,41,39,0.9512195121951219
NRAS,0.0646478607647486,-48.95472437591702,24.38430527140386,15,15,1.0
IDH1,0.0744322230990768,-55.13375580074961,23.93556288413987,18,18,1.0
U2AF1,0.0288866665722241,-30.170304543851444,7.919409290353585,8,8,1.0
RUNX1,0.021221341508817,-31.74465957039568,3.4948617927602896,9,8,0.8888888888888888
KRAS,0.0142771325919719,-27.330935676605108,1.2599016253203246,8,8,1.0
GCLM,0.0033124749741492,-5.819498473826419,0.6483289302763247,1,1,1.0
POC1A,0.0029255496394823,-5.879168042771777,0.4595005795042954,1,1,1.0
TP53,0.0097885917681841,-32.57975366190772,0.3939890176039,11,11,1.0
PPPDE2,0.0022099708977306,-5.6206628966569125,0.2249831617893924,1,1,1.0
ATP11B,0.0018662338095571,-5.56530673551473,0.1496825907406123,1,1,1.0
HSPB7,0.0018576434941309,-5.61455464812063,0.1480215901530872,1,1,1.0
NDUFA13,0.0018519176546227,-5.55385587434384,0.1469204349540174,1,1,1.0
KRT27,0.0018087417796348,-5.540838294158822,0.1395615852267706,1,1,1.0
TFAM,0.0015975651859535,-5.502071534810104,0.1045648527014506,1,1,1.0
HDAC2,0.0015400048762065,-5.593997618528075,0.0958560048695904,1,1,1.0
RPL4,0.0014653773093969,-5.4777887691703695,0.0857722511362641,1,1,1.0
RBBP4,0.0019866261863922,-9.419160754619446,0.07992720979896,2,2,1.0
GSTK1,0.0019718820194861,-9.66356734007498,0.0759730824487299,2,2,1.0
KLRK1,0.0013570602909745,-5.457254568178712,0.0716137503292433,1,1,1.0
NECAB2,0.0012861699458257,-5.453004120725873,0.0636590623898492,1,1,1.0
HIST1H3D,0.0012742944780467,-5.476313932157502,0.0622797863345745,1,1,1.0
VASH1,0.001242565354961,-5.542613972293422,0.0586678114007721,1,1,1.0
CDC42,0.0011846447907719,-5.425842284893667,0.0528433180456229,1,1,1.0
GNA15,0.0010949507230519,-5.645521056079226,0.0438714439126659,1,1,1.0
RAB23,0.001025438127005,-5.403928510031573,0.0379542645206214,1,1,1.0
SEPX1,0.0009777282131827,-5.38639898937934,0.0338098195653113,1,1,1.0
C8orf84,0.0006140319610696,-5.35657305323118,0.0113382773647376,1,1,1.0
RAB15,0.0005137963335103,-5.331362671445215,0.0069587613526707,1,1,1.0
C20orf24,1.0080825063596421e-13,-5.222896315477429,2.842170943040401e-13,1,1,1.0
KIAA1239,0.0,-0.0147773389671782,0.0,1,1,1.0
ARHGAP40,0.0,-0.0850552494966905,0.0,1,1,1.0
