gene,obs,exp,obs - exp
DNMT3A,41,2.368637047981522,38.63136295201848
IDH1,18,0.7169614610804294,17.28303853891957
IDH2,20,2.9695782924547016,17.030421707545297
NRAS,15,0.2858433073782824,14.714156692621717
FLT3,15,1.6802446286245223,13.319755371375479
TP53,11,1.1449343390792606,9.85506566092074
RUNX1,9,0.4526522628160398,8.54734773718396
PTPN11,9,0.6470184899024405,8.35298151009756
U2AF1,8,0.211520016181583,7.788479983818417
KRAS,8,0.27761565100623925,7.722384348993761
KIT,7,0.6740636783831652,6.325936321616835
FAM5C,6,0.48660328895216975,5.513396711047831
SMC3,5,0.6002971627081575,4.3997028372918425
SMC1A,5,0.6839342210207748,4.316065778979225
GBP4,3,0.07757759047900989,2.92242240952099
COL12A1,3,0.2990574842396387,2.7009425157603615
GRIK2,3,0.4400501798191498,2.5599498201808504
DIS3,3,0.5583275087710481,2.441672491228952
PLCE1,4,1.9447048004508196,2.0552951995491804
MEFV,2,0.02641047343039294,1.973589526569607
CD74,2,0.029931379590671832,1.970068620409328
SETBP1,2,0.03124454529628077,1.9687554547037192
GATA2,2,0.03149723478969413,1.9685027652103058
DCLK1,2,0.0513907284765753,1.9486092715234247
PLEKHH1,2,0.0616513761457488,1.938348623854251
C10orf28,2,0.06503904319655365,1.9349609568034463
TOP3B,2,0.06632185455542419,1.9336781454445757
GALNTL4,2,0.07140610380226393,1.928593896197736
FAM40B,2,0.08232680657178745,1.9176731934282125
NR2E1,2,0.08345967813972266,1.9165403218602775
WT1,2,0.08451468921938032,1.9154853107806198
OR13H1,2,0.08552447823188494,1.914475521768115
FAM65A,2,0.08563968668376866,1.9143603133162312
DDR2,2,0.09321602559412849,1.9067839744058714
SUZ12,2,0.09484514297496091,1.9051548570250392
KCNA4,2,0.10116086235484366,1.8988391376451563
DLC1,2,0.10217654171661243,1.8978234582833875
OR11H12,2,0.11030609328299339,1.8896939067170067
RBBP4,2,0.1115177696503654,1.8884822303496347
HECW1,2,0.1201269265632455,1.8798730734367546
SEMA3A,2,0.12346724081997591,1.876532759180024
CUL1,2,0.1326390359850964,1.8673609640149036
PDCD2L,2,0.1343472750310726,1.8656527249689274
MAP2,2,0.1499329751410184,1.8500670248589817
KDM6A,2,0.1696305419971813,1.8303694580028187
MTA2,2,0.20528949697905524,1.7947105030209447
PRPF8,2,0.20842914437910107,1.791570855620899
CADM2,2,0.2118318325953604,1.7881681674046397
CNTN5,2,0.21675688670475757,1.7832431132952424
KIAA0240,2,0.26513475860322333,1.7348652413967767
EGFR,2,0.2699197541807794,1.7300802458192206
ATP10B,2,0.2846289261531224,1.7153710738468777
DNAH9,3,1.29538743831682,1.70461256168318
SMG1,3,1.299171115002293,1.700828884997707
PRAMEF2,2,0.3191489361702155,1.6808510638297844
MTUS2,2,0.32400932400952565,1.6759906759904744
GSTK1,2,0.32526357871023237,1.6747364212897677
SCN1A,2,0.3526492059130623,1.6473507940869376
NMUR2,2,0.3593749999998957,1.6406250000001044
PTPRT,3,1.3614432860177028,1.6385567139822972
CSMD3,2,0.3646821688626948,1.6353178311373053
TET1,2,0.3839643652646682,1.6160356347353317
CACNA1B,3,1.410985551951824,1.589014448048176
RIMS1,2,0.41413311421502874,1.5858668857849714
TNC,2,0.4173878347372809,1.5826121652627192
TTBK1,2,0.426324664844144,1.5736753351558561
ILDR1,2,0.4269005847953653,1.5730994152046347
TRPM3,2,0.44193417693198267,1.5580658230680173
GRM8,2,0.4473969133036062,1.5526030866963938
TUBA3C,2,0.467232804776554,1.532767195223446
ZNF687,2,0.4716709229949053,1.5283290770050946
BMPER,2,0.47440744401912044,1.5255925559808796
UNC5B,2,0.5018226682062664,1.4981773317937335
KDR,2,0.544978938442908,1.455021061557092
CACNA1E,3,1.5787649584298535,1.4212350415701465
KIF2B,2,0.5808820581244046,1.4191179418755953
NRXN3,2,0.6062099556471431,1.393790044352857
APOB,2,0.6175800218039293,1.3824199781960707
FAM154B,2,0.6270491803279425,1.3729508196720575
FCGBP,2,0.636579236856047,1.363420763143953
ADAM11,2,0.6453803605171915,1.3546196394828085
CECR2,2,0.6692519587271268,1.3307480412728732
CADPS,2,0.7155963302752466,1.2844036697247534
ADCY5,2,0.7213114754100264,1.2786885245899735
RBM16,2,0.7325566173634439,1.267443382636556
CNTNAP4,2,0.7346201262891328,1.2653798737108672
SI,2,0.7349786536624507,1.2650213463375493
CEBPA,2,0.7350609982683488,1.2649390017316513
GRIK4,2,0.7435105774732382,1.2564894225267618
GRM3,2,0.8022720883093382,1.1977279116906618
MUC5B,3,1.8241143518037584,1.1758856481962416
RYR3,2,0.8728836842184523,1.1271163157815476
BSN,2,0.9094558074235947,1.0905441925764054
DST,2,0.9115754031140089,1.0884245968859911
CHD4,2,0.927152317881047,1.072847682118953
CMYA5,2,0.9509885825668577,1.0490114174331424
KRT27,1,0.0036588035395609124,0.9963411964604391
TFAM,1,0.003870568199425058,0.9961294318005749
RPL4,1,0.0040031453284835984,0.9959968546715164
KLRK1,1,0.0041152263374371455,0.9958847736625629
CDC42,1,0.0042865890998106055,0.9957134109001894
SEPX1,1,0.004501683238429156,0.9954983167615709
C20orf24,1,0.005391690453597182,0.9946083095464028
CARD18,1,0.005535055350551604,0.9944649446494483
METTL3,1,0.005915428868869805,0.9940845711311302
RPL9,1,0.006013551665690631,0.9939864483343094
ARL3,1,0.006140106055684588,0.9938598939443154
GCLM,1,0.006469002695620382,0.9935309973043797
SPESP1,1,0.006763972944112961,0.9932360270558871
ANG,1,0.006860371267163908,0.9931396287328361
TMCO5A,1,0.006955842125739759,0.9930441578742603
AURKC,1,0.0069694244604215205,0.9930305755395785
ZNF311,1,0.0070182900893527075,0.9929817099106473
PRSS3,1,0.007215436168794614,0.9927845638312054
RPL32,1,0.007648623759965746,0.9923513762400342
CHIC2,1,0.007695181173059257,0.9923048188269408
C8orf80,1,0.008352910467507312,0.9916470895324927
CADM3,1,0.008468947193663489,0.9915310528063365
IMMP2L,1,0.008626999895681024,0.991373000104319
HLA-DRB1,1,0.00862791897694316,0.9913720810230569
ANKRD13A,1,0.008683037142509927,0.99131696285749
UQCR10,1,0.008918241419041115,0.9910817585809589
LTA4H,1,0.00902524494123113,0.9909747550587689
TPRG1,1,0.009223454833704129,0.9907765451662959
NDUFA13,1,0.009284031714786022,0.990715968285214
CNOT6L,1,0.009451387722063423,0.9905486122779366
GNRHR,1,0.009579955784813535,0.9904200442151865
PPPDE2,1,0.009774137040341689,0.9902258629596583
ESCO2,1,0.010366051183511573,0.9896339488164885
SLPI,1,0.010519746812863395,0.9894802531871366
CCL20,1,0.010729328308819027,0.989270671691181
PTAR1,1,0.010766856152969474,0.9892331438470305
CCDC24,1,0.011048580115491244,0.9889514198845087
KCNE3,1,0.011108782225895137,0.9888912177741048
MAEL,1,0.01122743134571359,0.9887725686542864
TNNC2,1,0.011388391009992387,0.9886116089900077
SLC27A6,1,0.01153846153848038,0.9884615384615196
TBC1D4,1,0.011558224555467882,0.9884417754445322
C4BPB,1,0.011622979598855944,0.9883770204011441
KRTAP10-8,1,0.011720517694065824,0.9882794823059342
TBX15,1,0.011778500238493991,0.988221499761506
DCAF6,1,0.012220162554500457,0.9877798374454996
ELF1,1,0.012227569746328267,0.9877724302536718
NAE1,1,0.012354220200839303,0.9876457797991607
ANKRD33,1,0.012466171475239065,0.9875338285247609
RAB23,1,0.012472609820502002,0.987527390179498
NECAB2,1,0.012552499448128111,0.9874475005518719
SPRR4,1,0.012658227848102513,0.9873417721518974
SCARB1,1,0.013379017784178049,0.986620982215822
CCL11,1,0.013658714259852043,0.986341285740148
ORAI1,1,0.01371368751604581,0.9862863124839542
MMP25,1,0.01393624416632198,0.986063755833678
C16orf57,1,0.014592237619912683,0.9854077623800873
TBX18,1,0.01460255038726513,0.9853974496127349
DOK2,1,0.015063168124358647,0.9849368318756414
ZBTB33,2,1.0154781647373643,0.9845218352626357
MAPK1,1,0.015540015540020992,0.984459984459979
CCBE1,1,0.015601560156079301,0.9843984398439207
TCL1A,1,0.015606242496994365,0.9843937575030056
TCEANC,1,0.015780547157034218,0.9842194528429657
ATP6V1G3,1,0.015975027543278054,0.9840249724567219
RBM9,1,0.01597552685260203,0.9840244731473979
RFX4,1,0.01608523083338248,0.9839147691666175
MCART2,1,0.01626898047722599,0.983731019522774
ABCF1,1,0.01637050510586964,0.9836294948941303
ENTPD1,1,0.016558612230556834,0.9834413877694431
MDH1B,1,0.016715830875112043,0.9832841691248879
LRRC58,1,0.01729626249426333,0.9827037375057367
SLC6A20,1,0.017425992021882192,0.9825740079781178
DNAJC7,1,0.017459302611449606,0.9825406973885504
SMAD9,1,0.017981119824266964,0.982018880175733
ATP11B,1,0.018020090483839093,0.9819799095161609
SRCRB4D,1,0.018067276833280525,0.9819327231667194
NKRF,1,0.018082565677149706,0.9819174343228503
GABRB1,1,0.01832537858659577,0.9816746214134042
RCAN2,1,0.018480820660222497,0.9815191793397775
ZNF213,1,0.018552875695725567,0.9814471243042744
ZNF486,1,0.01860638514237373,0.9813936148576262
NCCRP1,1,0.01891202719939572,0.9810879728006043
OR51L1,1,0.018993799544606164,0.9810062004553939
KRT20,1,0.01904761904763379,0.9809523809523663
PA2G4,1,0.019171304885607615,0.9808286951143924
TMEM18,1,0.019179642992437195,0.9808203570075628
DAZAP2,1,0.01964407939778004,0.98035592060222
VCAM1,1,0.019646365422434958,0.9803536345775651
HKR1,1,0.020086862106405194,0.9799131378935948
ECM2,1,0.02019880715636001,0.97980119284364
OR8A1,1,0.02021403091556926,0.9797859690844307
RNF213,2,1.0202397564804768,0.9797602435195232
TMPRSS13,1,0.020458027911819412,0.9795419720881806
NRF1,1,0.02061147372041971,0.9793885262795803
EPGN,1,0.020654747326447894,0.9793452526735521
SOX5,1,0.020679985979744155,0.9793200140202558
SLC1A1,1,0.020789138735653013,0.979210861264347
IL1RL2,1,0.021100917431142754,0.9788990825688573
C1orf183,1,0.021320440675015078,0.978679559324985
CD320,1,0.02142993119512035,0.9785700688048796
ZNF260,1,0.021731281501250792,0.9782687184987492
PTPN5,1,0.022055073941977525,0.9779449260580225
MEX3B,1,0.022093911052229194,0.9779060889477708
ACTBL2,1,0.022155654778505503,0.9778443452214945
SH3BP4,1,0.022358614642514017,0.977641385357486
HK1,1,0.022448654672604967,0.9775513453273951
KIAA1529,1,0.02245483707577287,0.9775451629242271
NPNT,1,0.02255757427177907,0.9774424257282209
C11orf70,1,0.022692188947045524,0.9773078110529545
EYA4,1,0.022872693697086086,0.9771273063029139
CENPN,1,0.02311233885836246,0.9768876611416375
WDR27,1,0.02347417840369313,0.9765258215963069
JAK3,1,0.02356294268812329,0.9764370573118767
ELF4,1,0.023676880222832777,0.9763231197771672
PDK4,1,0.023766447367643457,0.9762335526323566
BMP6,1,0.023885028000749816,0.9761149719992502
TYRO3,1,0.023924545663104653,0.9760754543368954
ZNF37A,1,0.02398003472259322,0.9760199652774068
FSD2,1,0.024046001045457403,0.9759539989545426
CCL16,1,0.02424942263282021,0.9757505773671797
DUSP26,1,0.02443075040344971,0.9755692495965503
TTLL2,1,0.024457906357489675,0.9755420936425103
C6orf142,1,0.02474430880827628,0.9752556911917237
PDXDC1,1,0.024882635534198262,0.9751173644658018
MECR,1,0.024947870122329963,0.97505212987767
VPS72,1,0.024966574803990265,0.9750334251960098
NPAS4,1,0.02498663339744389,0.9750133666025561
C13orf18,1,0.02500123523887699,0.974998764761123
KLHL18,1,0.02524082993713859,0.9747591700628614
CTSG,1,0.02548222949856579,0.9745177705014342
ALDH1A3,1,0.02548419979612608,0.974515800203874
PCDHGA3,1,0.025736387979774546,0.9742636120202255
BTBD16,1,0.025816649104368053,0.9741833508956319
LRRC43,1,0.026791548682299778,0.9732084513177002
ZC3HC1,1,0.02708586796480822,0.9729141320351917
SLC12A3,1,0.027179525002419273,0.9728204749975807
FBXO30,1,0.027359538085964103,0.9726404619140359
CYP4A22,1,0.02753368482714865,0.9724663151728513
SERPINB12,1,0.02772115776625065,0.9722788422337494
WEE1,1,0.027830346208472474,0.9721696537915275
SECISBP2L,1,0.02811179720606458,0.9718882027939354
TMTC2,1,0.028455284553308577,0.9715447154466914
SULF1,1,0.02861736334413557,0.9713826366558644
TSHZ3,1,0.029119056395228483,0.9708809436047715
MYEOV,1,0.029165961763715456,0.9708340382362846
FEZF2,1,0.029332160495680177,0.9706678395043198
RAP1B,1,0.02937356798133836,0.9706264320186616
ZNF677,1,0.029375798256004577,0.9706242017439954
CAPS,1,0.029768341965452343,0.9702316580345477
SERPINA12,1,0.029933355924701564,0.9700666440752984
PMPCB,1,0.029948374985960376,0.9700516250140396
SULT1B1,1,0.03029824838258194,0.969701751617418
LYRM5,1,0.03032140691332121,0.9696785930866788
PLA2G4C,1,0.03035680484404911,0.9696431951559509
ASB11,1,0.030536914768078682,0.9694630852319213
OR52E8,1,0.030984464852193666,0.9690155351478064
FGL2,1,0.031073633890094626,0.9689263661099053
ADAMTS12,1,0.031553398058455084,0.968446601941545
PRKD3,1,0.03179210490424656,0.9682078950957534
FAM19A4,1,0.03201219512196413,0.9679878048780359
PLA2G2D,1,0.03201970443350284,0.9679802955664971
CDH16,1,0.032036613272352944,0.967963386727647
OSTalpha,1,0.032066508313511745,0.9679334916864882
GUCA2A,1,0.03236641221369196,0.967633587786308
DAXX,1,0.03270879644347607,0.967291203556524
LRRTM2,1,0.03291299626089447,0.9670870037391055
TCTE3,1,0.033112582781464665,0.9668874172185353
TEK,1,0.03338007322609127,0.9666199267739087
MBTPS1,1,0.03371412649769714,0.9662858735023029
OR4B1,1,0.033994334277622745,0.9660056657223772
ZNF502,1,0.0345414405267049,0.9654585594732951
MAT1A,1,0.034876728803390745,0.9651232711966092
SLCO5A1,1,0.035137146500797245,0.9648628534992028
GPR125,1,0.03559360216277599,0.964406397837224
BRS3,1,0.03560371517025109,0.9643962848297489
UGT1A10,1,0.03572079460546557,0.9642792053945344
LRCH3,1,0.03581127188965406,0.964188728110346
SYT1,1,0.0362694300518118,0.9637305699481882
HEATR4,1,0.03630345968831637,0.9636965403116836
RIT1,1,0.03665392399347072,0.9633460760065293
IL1R1,1,0.03684749232343553,0.9631525076765645
MPND,1,0.03690807799435409,0.9630919220056459
ZNF616,1,0.03706605297865338,0.9629339470213466
SFRS6,1,0.037263157895554434,0.9627368421044455
FKBP8,1,0.037338439444667075,0.9626615605553329
DLX3,1,0.037404654803042815,0.9625953451969572
LGTN,1,0.03756391766092703,0.962436082339073
HCLS1,1,0.03781665387487573,0.9621833461251242
GNAI2,1,0.03793466807170658,0.9620653319282935
HIST1H3D,1,0.03813649938428147,0.9618635006157186
SYTL4,1,0.038178164768931676,0.9618218352310683
KCNK13,1,0.03836027207141176,0.9616397279285882
PRDM16,1,0.0384954687610584,0.9615045312389416
RAB25,1,0.03849913527381085,0.9615008647261891
SNCAIP,1,0.03864734299507914,0.9613526570049209
MDFI,1,0.03895716618369517,0.9610428338163048
LNX1,1,0.03898734177220346,0.9610126582277966
PDGFRB,1,0.03899082568839052,0.9610091743116095
JAM2,1,0.03913043478256412,0.9608695652174358
